          RA           DEC             R062             Z087 
 00:54:10.71  +39:49:10.13       28.8725503       29.8742435 
 00:53:59.91  +39:48:28.99       30.2184176       30.8179415 
 00:54:00.52  +39:48:31.17       22.4777088       22.4033274 
 00:54:11.95  +39:49:14.55       28.4513285       29.5182384 
 00:53:58.21  +39:48:22.13       27.8030329       28.9568983 
 00:54:09.74  +39:49:05.99       26.8847524       27.6799263 
 00:53:58.05  +39:48:21.44       22.7289154       23.0349644 
 00:54:01.46  +39:48:34.40       29.3062155       30.1122588 
 00:54:06.85  +39:48:54.85       28.8157177       29.9152359 
 00:54:12.95  +39:49:18.05       23.8220676       24.6715887 
 00:53:57.96  +39:48:21.00       29.0886438       30.2099009 
 00:54:05.09  +39:48:48.08       29.2301068       30.3622333 
 00:54:01.64  +39:48:34.90       29.6369546       30.2256090 
 00:54:01.26  +39:48:33.37       29.9440285       30.5109441 
 00:54:06.58  +39:48:53.63       29.4606046       30.2992562 
 00:54:03.69  +39:48:42.60       28.7847373       30.0255582 
 00:54:10.46  +39:49:08.21       29.4159590       30.5915633 
 00:54:13.15  +39:49:18.45       29.2871807       30.3975684 
 00:53:59.93  +39:48:28.10       27.9898655       29.0459059 
 00:53:57.60  +39:48:19.16       29.3530329       30.5068983 
 00:54:10.52  +39:49:08.31       29.4396393       29.9739466 
 00:54:13.21  +39:49:18.50       28.6996242       29.6795785 
 00:54:01.63  +39:48:34.41       28.7213285       29.7882384 
 00:54:00.04  +39:48:28.35       28.9205894       30.2048881 
 00:54:07.47  +39:48:56.62       28.9552351       29.9025811 
 00:54:06.14  +39:48:51.35       29.5122938       30.8835480 
 00:53:59.38  +39:48:25.47       27.2411327       26.8950152 
 00:54:09.46  +39:49:03.56       27.7557177       28.8552359 
 00:54:00.30  +39:48:28.66       27.9496242       28.9295785 
 00:54:05.39  +39:48:47.98       28.8935155       30.1995531 
 00:54:05.59  +39:48:48.73       28.7071807       29.8175684 
 00:54:03.35  +39:48:40.10       28.1452351       29.0925811 
 00:54:09.71  +39:49:04.30       28.2932742       29.5232257 
 00:54:12.71  +39:49:15.69       28.9284176       29.5279415 
 00:54:03.94  +39:48:42.32       29.1969394       30.2312410 
 00:54:09.96  +39:49:05.17       29.0486438       30.1699009 
 00:54:03.50  +39:48:40.54       28.4593829       29.3632511 
 00:54:06.57  +39:48:52.18       29.3669394       30.4012410 
 00:54:04.11  +39:48:42.77       28.8030329       29.9568983 
 00:54:09.04  +39:49:01.49       28.1308459       29.0455836 
 00:54:01.42  +39:48:32.43       25.2352351       26.1825811 
 00:54:06.48  +39:48:51.71       29.1666981       30.1249136 
 00:54:09.52  +39:49:03.27       28.5230329       29.6768983 
 00:54:09.56  +39:49:03.39       28.5493829       29.4532511 
 00:53:59.06  +39:48:23.23       27.3952351       28.3425811 
 00:54:01.45  +39:48:32.35       29.0930329       30.2468983 
 00:54:01.61  +39:48:32.97       29.1103481       30.3185607 
 00:54:01.78  +39:48:33.59       29.1954764       30.2189085 
 00:54:06.88  +39:48:52.76       28.0135307       28.8739212 
 00:54:09.17  +39:49:01.43       29.0913134       30.6038704 
 00:54:00.24  +39:48:27.30       29.6979350       30.1452867 
 00:54:02.42  +39:48:35.65       28.5984025       29.6435735 
 00:54:08.48  +39:48:58.67       25.6020676       26.4515887 
 00:54:00.36  +39:48:27.76       29.0437872       29.5346167 
 00:54:01.98  +39:48:33.92       28.4457177       29.5452359 
 00:54:02.37  +39:48:35.37       25.0189002       25.7705963 
 00:54:03.56  +39:48:39.81       29.5013285       30.5682384 
 00:54:12.58  +39:49:14.00       29.9052351       30.8525811 
 00:54:00.73  +39:48:28.89       29.4486589       30.1242689 
 00:54:02.64  +39:48:36.16       30.3284176       30.9279415 
 00:54:07.59  +39:48:55.00       28.7864568       29.6685862 
 00:54:08.70  +39:48:59.19       29.4669394       30.5012410 
 00:54:01.50  +39:48:31.72       28.7162003       29.9678907 
 00:54:06.40  +39:48:50.39       28.9493677       30.2988831 
 00:54:07.11  +39:48:53.08       27.2806046       28.1192562 
 00:54:02.01  +39:48:33.66       29.3881460       30.8028780 
 00:54:07.70  +39:48:55.31       28.2320676       29.0815887 
 00:54:02.49  +39:48:35.34       29.1942698       29.8372715 
 00:53:57.10  +39:48:14.77       27.8752351       28.8225811 
 00:53:59.47  +39:48:23.71       29.5220828       29.9259568 
 00:54:00.17  +39:48:26.27       28.7223090       29.6479161 
 00:54:02.72  +39:48:35.98       29.2686135       31.2811647 
 00:54:00.03  +39:48:25.63       21.1606501       20.6623604 
 00:54:10.02  +39:49:03.64       28.6405894       29.9248881 
 00:54:07.44  +39:48:53.77       28.8727916       29.9505709 
 00:54:08.74  +39:48:58.66       28.4615850       29.1589339 
 00:54:10.35  +39:49:04.77       27.3672565       26.2494087 
 00:54:02.61  +39:48:35.26       28.9149786       30.2318856 
 00:54:12.74  +39:49:13.61       29.0459590       30.2215633 
 00:53:59.36  +39:48:22.69       29.5830329       30.7368983 
 00:53:59.41  +39:48:22.81       26.7264568       27.6085862 
 00:54:13.61  +39:49:16.64       29.1879198       30.0809187 
 00:54:08.54  +39:48:57.32       29.3835307       30.2439212 
 00:54:10.02  +39:49:02.93       27.8484025       28.8935735 
 00:54:11.26  +39:49:07.58       27.9323090       28.8579161 
 00:54:11.65  +39:49:08.96       28.7854764       29.8089085 
 00:54:01.00  +39:48:28.37       29.4081915       29.4859822 
 00:53:59.96  +39:48:24.24       24.9013437       25.5226065 
 00:54:05.61  +39:48:45.70       28.1625503       29.1642435 
 00:54:12.30  +39:49:11.07       28.9708459       29.8855836 
 00:54:03.28  +39:48:36.60       26.6266981       27.5849136 
 00:54:03.57  +39:48:37.70       29.4884176       30.0879415 
 00:54:08.71  +39:48:57.18       28.5369394       29.5712410 
 00:53:57.42  +39:48:14.20       27.1447524       27.9399263 
 00:54:13.51  +39:49:15.41       29.2852351       30.2325811 
 00:54:02.92  +39:48:35.03       28.4301068       29.5622333 
 00:54:06.29  +39:48:47.77       28.6635155       29.9695531 
 00:54:02.59  +39:48:33.61       28.4986438       29.6199009 
 00:54:00.61  +39:48:26.06       29.6462306       30.0066268 
 00:54:10.49  +39:49:03.59       28.8054764       29.8289085 
 00:54:07.73  +39:48:53.04       28.9752351       29.9225811 
 00:54:03.15  +39:48:35.55       28.6240133       29.6365760 
 00:54:09.71  +39:49:00.50       28.4759590       29.6515633 
 00:54:09.49  +39:48:59.60       29.1838023       29.2289847 
 00:54:09.83  +39:49:00.86       29.0118112       30.2308932 
 00:53:57.75  +39:48:14.84       28.9866829       30.3905455 
 00:54:03.78  +39:48:37.73       28.7098655       29.7659059 
 00:54:06.68  +39:48:48.76       28.9054764       29.9289085 
 00:53:57.58  +39:48:14.10       28.7869394       29.8212410 
 00:54:06.29  +39:48:47.14       28.4620525       29.7572206 
 00:54:12.77  +39:49:11.64       28.1671807       29.2775684 
 00:53:57.40  +39:48:13.04       28.6598503       30.1615379 
 00:54:08.46  +39:48:55.14       28.8866829       30.2905455 
 00:53:57.20  +39:48:12.21       29.0169394       30.0512410 
 00:54:01.59  +39:48:28.96       28.4457177       29.5452359 
 00:54:03.26  +39:48:35.32       28.6442546       29.7329034 
 00:54:07.64  +39:48:51.95       29.0108308       30.3712156 
 00:53:59.91  +39:48:22.47       27.1779198       28.0709187 
 00:54:09.21  +39:48:57.85       29.0447524       29.8399263 
 00:54:03.51  +39:48:36.15       28.9939982       30.4522079 
 00:54:11.45  +39:49:06.33       28.8576634       30.1202232 
 00:53:59.32  +39:48:20.16       29.2847373       30.5255582 
 00:54:08.19  +39:48:53.89       29.5593829       30.4632511 
 00:53:57.69  +39:48:13.89       29.4169394       30.4512410 
 00:54:07.28  +39:48:50.32       28.8959590       30.0715633 
 00:54:11.56  +39:49:06.58       27.8044960       28.9692308 
 00:54:04.08  +39:48:38.10       29.3381611       30.3072461 
 00:54:08.55  +39:48:55.09       28.7206046       29.5592562 
 00:53:59.30  +39:48:19.85       28.7779047       30.1165506 
 00:54:01.72  +39:48:29.03       26.9850089       27.4106218 
 00:54:07.66  +39:48:51.62       28.2823090       29.2079161 
 00:54:05.54  +39:48:43.42       30.0220828       30.4259568 
 00:54:05.69  +39:48:44.00       28.7208459       29.6355836 
 00:53:59.87  +39:48:21.85       29.4044960       30.5692308 
 00:54:09.31  +39:48:57.73       29.5354915       30.1132766 
 00:54:03.67  +39:48:36.26       21.9372414       21.2650407 
 00:54:09.92  +39:49:00.03       28.7091416       29.5369237 
 00:53:58.88  +39:48:17.97       28.8932742       30.1232257 
 00:54:10.72  +39:49:03.03       29.1130329       30.2668983 
 00:54:08.44  +39:48:54.29       28.4825503       29.4842435 
 00:54:12.02  +39:49:07.85       22.6482218       21.8347183 
 00:54:00.67  +39:48:24.59       26.9393829       27.8432511 
 00:54:08.81  +39:48:55.52       28.8120525       30.1072206 
 00:54:05.79  +39:48:43.89       28.7503633       29.5129288 
 00:53:58.59  +39:48:16.50       28.3115699       29.4545658 
 00:54:12.42  +39:49:09.08       28.9586438       30.0799009 
 00:54:04.37  +39:48:38.40       29.5357328       30.1896040 
 00:54:06.88  +39:48:47.92       30.2145111       30.9335989 
 00:54:09.81  +39:48:59.04       29.3703481       30.5785607 
 00:53:59.95  +39:48:21.47       29.7810872       30.7719110 
 00:54:10.21  +39:49:00.51       29.4576482       31.1658551 
 00:54:12.50  +39:49:09.16       28.7849937       29.6562537 
 00:54:13.94  +39:49:14.62       36.9565792       27.0670925 
 00:54:00.46  +39:48:23.34       29.0532742       30.2832257 
 00:53:57.31  +39:48:11.28       27.6962155       28.5022588 
 00:53:59.05  +39:48:17.90       28.4596242       29.4395785 
 00:54:02.25  +39:48:30.04       30.4318263       31.2052613 
 00:53:59.41  +39:48:19.10       29.4254764       30.4489085 
 00:54:08.50  +39:48:53.70       28.8459590       30.0215633 
 00:54:08.84  +39:48:54.99       29.2469394       30.2812410 
 00:53:59.52  +39:48:19.34       29.2371807       30.3475684 
 00:54:05.95  +39:48:43.80       24.3501220       25.0366014 
 00:54:07.94  +39:48:51.31       29.3249937       30.1962537 
 00:54:06.41  +39:48:45.45       28.8196242       29.7995785 
 00:54:00.70  +39:48:23.68       28.4974220       29.6838958 
 00:54:11.68  +39:49:05.46       28.4227916       29.5005709 
 00:54:01.85  +39:48:28.05       26.9649937       27.8362537 
 00:54:07.36  +39:48:49.00       29.1508459       30.0655836 
 00:54:02.11  +39:48:28.96       29.5676937       29.9389593 
 00:54:08.98  +39:48:55.14       28.9676634       30.2302232 
 00:53:58.93  +39:48:16.84       28.6776634       29.9402232 
 00:54:11.25  +39:49:03.64       27.7659742       28.4959314 
 00:54:13.68  +39:49:12.82       29.9952351       30.9425811 
 00:54:03.31  +39:48:33.36       28.9223090       29.8479161 
 00:54:09.12  +39:48:55.43       28.9805743       30.7105201 
 00:54:11.38  +39:49:03.98       23.7257935       22.5970762 
 00:54:08.73  +39:48:53.81       28.6718263       29.4452613 
 00:54:10.20  +39:48:59.37       29.3957177       30.4952359 
 00:54:01.35  +39:48:25.64       30.0145111       30.7335989 
 00:53:59.91  +39:48:20.07       29.5171807       30.6275684 
 00:54:06.41  +39:48:44.71       28.7574220       29.9438958 
 00:54:00.48  +39:48:22.12       28.7371807       29.8475684 
 00:54:04.97  +39:48:39.19       29.4508308       30.8112156 
 00:54:11.62  +39:49:04.49       28.7320525       30.0272206 
 00:54:11.82  +39:49:05.18       28.2818112       29.5008932 
 00:54:02.99  +39:48:31.56       29.3720525       30.6672206 
 00:54:03.62  +39:48:33.92       29.4454764       30.4689085 
 00:54:07.06  +39:48:46.99       28.3457177       29.4452359 
 00:53:58.91  +39:48:15.94       28.4010872       29.3919110 
 00:53:59.29  +39:48:17.28       28.2110721       29.6475430 
 00:53:58.02  +39:48:12.35       28.6284025       29.6735735 
 00:54:02.84  +39:48:30.72       28.5469394       29.5812410 
 00:53:59.19  +39:48:16.72       29.4162155       30.2222588 
 00:54:13.43  +39:49:10.83       27.8979198       28.7909187 
 00:54:12.05  +39:49:05.58       29.2644960       30.4292308 
 00:54:06.97  +39:48:46.20       29.5766981       30.5349136 
 00:54:12.94  +39:49:08.85       28.6918112       29.9108932 
 00:54:07.39  +39:48:47.67       29.3325503       30.3342435 
 00:53:58.49  +39:48:13.75       25.2032894       25.9875938 
 00:54:09.04  +39:48:53.93       29.1808308       30.5412156 
 00:54:08.33  +39:48:51.20       28.3071807       29.4175684 
