          RA           DEC             R062             Z087 
 00:53:17.10  +39:50:49.91       28.8186438       29.9399009 
 00:53:30.31  +39:51:33.52       29.0720676       29.9215887 
 00:53:22.81  +39:51:08.72       28.1815699       29.3245658 
 00:53:21.26  +39:51:03.58       28.4520676       29.3015887 
 00:53:23.47  +39:51:10.87       28.0944960       29.2592308 
 00:53:21.08  +39:51:02.92       28.9859590       30.1615633 
 00:53:23.11  +39:51:09.63       29.2562155       30.0622588 
 00:53:23.19  +39:51:09.90       29.1406046       29.9792562 
 00:53:24.22  +39:51:13.28       27.3062155       28.1122588 
 00:53:24.87  +39:51:15.41       29.0371807       30.1475684 
 00:53:31.23  +39:51:36.23       28.5857177       29.6852359 
 00:53:23.55  +39:51:10.65       28.1274220       29.3138958 
 00:53:24.74  +39:51:14.62       28.0630329       29.2168983 
 00:53:21.62  +39:51:04.27       27.0262155       27.8322588 
 00:53:16.96  +39:50:48.77       30.2923090       31.2179161 
 00:53:18.54  +39:50:54.02       29.5674220       30.7538958 
 00:53:17.92  +39:50:51.92       28.1815699       29.3245658 
 00:53:21.13  +39:51:02.50       30.3472414       29.6750407 
 00:53:29.93  +39:51:31.56       29.2562155       30.0622588 
 00:53:23.65  +39:51:10.82       28.5479198       29.4409187 
 00:53:29.77  +39:51:30.99       28.6693829       29.5732511 
 00:53:31.98  +39:51:38.23       29.5203633       30.2829288 
 00:53:22.43  +39:51:06.65       28.1357177       29.2352359 
 00:53:22.87  +39:51:08.10       28.9574220       30.1438958 
 00:53:17.33  +39:50:49.64       28.9771807       30.0875684 
 00:53:27.99  +39:51:24.82       28.0391416       28.8669237 
 00:53:20.41  +39:50:59.67       28.2076785       29.0245912 
 00:53:28.55  +39:51:26.51       28.6889002       29.4405963 
 00:53:18.44  +39:50:53.06       28.0508459       28.9655836 
 00:53:21.68  +39:51:03.70       28.5432742       29.7732257 
 00:53:22.69  +39:51:07.06       28.5981611       29.5672461 
 00:53:23.02  +39:51:08.07       28.0925503       29.0942435 
 00:53:25.21  +39:51:15.26       29.9474524       30.2426319 
 00:53:19.17  +39:50:55.25       29.0588851       30.2562283 
 00:53:22.01  +39:51:04.63       28.6554612       30.1245404 
 00:53:28.54  +39:51:26.20       27.9435307       28.8039212 
 00:53:32.61  +39:51:39.55       27.5623090       28.4879161 
 00:53:19.35  +39:50:55.71       29.2010721       30.6375430 
 00:53:22.48  +39:51:06.00       28.4308459       29.3455836 
 00:53:22.87  +39:51:07.31       29.5015850       30.1989339 
 00:53:23.48  +39:51:09.31       28.4184025       29.4635735 
 00:53:24.36  +39:51:12.21       28.4544960       29.6192308 
 00:53:26.95  +39:51:20.74       28.1940133       29.2065760 
 00:53:24.08  +39:51:11.23       28.5708459       29.4855836 
 00:53:22.58  +39:51:06.21       28.0430329       29.1968983 
 00:53:25.71  +39:51:16.55       29.1025503       30.1042435 
 00:53:17.89  +39:50:50.68       28.0769394       29.1112410 
 00:53:17.67  +39:50:49.91       28.4674220       29.6538958 
 00:53:19.89  +39:50:57.22       28.9818112       30.2008932 
 00:53:31.22  +39:51:34.63       28.5286438       29.6499009 
 00:53:20.41  +39:50:58.88       29.2032894       29.9875938 
 00:53:19.72  +39:50:56.57       28.5242546       29.6129034 
 00:53:19.92  +39:50:57.20       28.1352351       29.0825811 
 00:53:22.99  +39:51:07.29       28.5466829       29.9505455 
 00:53:25.15  +39:51:14.41       29.5259742       30.2559314 
 00:53:25.96  +39:51:17.05       28.2749937       29.1462537 
