          RA           DEC             R062             Z087 
 00.49.10.14  +40.18.53.70       28.6037720       29.5402486 
 00.49.14.15  +40.17.54.87       28.7030329       29.8568983 
 00.49.15.33  +40.17.37.56       29.4408611       29.9099517 
 00.49.16.04  +40.17.27.17       27.6435307       28.5039212 
 00.49.06.53  +40.19.46.40       29.4242546       30.5129034 
 00.49.09.14  +40.19.08.17       28.8683873       30.3592054 
 00.49.13.56  +40.18.03.49       25.2618263       26.0352613 
 00.49.06.92  +40.19.40.60       28.1364416       29.4642181 
 00.49.15.09  +40.17.40.97       28.9410872       29.9319110 
 00.49.06.81  +40.19.42.23       28.5810872       29.5719110 
 00.49.08.78  +40.19.13.41       29.0498655       30.1059059 
 00.49.14.94  +40.17.43.09       29.0662003       30.3178907 
 00.49.15.66  +40.17.32.60       28.9754764       29.9989085 
 00.49.05.99  +40.19.54.11       28.3459590       29.5215633 
 00.49.10.97  +40.18.41.21       28.3813285       29.4482384 
 00.49.13.66  +40.18.01.81       29.3010872       30.2919110 
 00.49.13.69  +40.18.01.33       28.8581611       29.8272461 
 00.49.13.74  +40.18.00.62       29.5218112       30.7408932 
 00.49.14.00  +40.17.56.91       28.9874372       29.7282638 
 00.49.14.76  +40.17.45.70       29.3918263       30.1652613 
 00.49.15.40  +40.17.36.35       29.5174372       30.2582638 
 00.49.16.39  +40.17.21.76       29.0057177       30.1052359 
 00.49.08.06  +40.19.23.81       28.3030329       29.4568983 
 00.49.08.34  +40.19.19.63       29.2188851       30.4162283 
