# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Fri Mar  8 04:16:14 CET 2019
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: CFHT/Megacam <i>u*g'r'i'z'</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  u*mag   g'mag   r'mag   i'mag   z'mag
4.916e-05 9.929 0.8802375793 3.1033823490    0.877  1.532  3.7252  2.702    0 0.940 2.131 1.390 0.957 0.767 0.696
4.916e-05 9.929 0.8804745674 3.1034667492    0.877  1.578  3.7236  2.650    0 0.825 2.027 1.280 0.843 0.650 0.577
4.916e-05 9.929 0.8806984425 3.1035463810    0.877  1.625  3.7221  2.596    0 0.706 1.920 1.167 0.726 0.530 0.456
4.916e-05 9.929 0.8808985353 3.1036176682    0.877  1.671  3.7205  2.544    0 0.591 1.817 1.058 0.612 0.413 0.338
4.916e-05 9.929 0.8810779452 3.1036813259    0.877  1.716  3.7189  2.492    0 0.480 1.718 0.953 0.502 0.300 0.223
4.916e-05 9.929 0.8812460899 3.1037411690    0.877  1.762  3.7174  2.441    0 0.366 1.619 0.845 0.389 0.185 0.106
4.916e-05 9.929 0.8813954592 3.1037940979    0.877  1.806  3.7158  2.390    0 0.255 1.524 0.741 0.280 0.072 -0.008
4.916e-05 9.929 0.8815348744 3.1038436890    0.877  1.850  3.7141  2.339    0 0.144 1.429 0.636 0.169 -0.041 -0.123
4.916e-05 9.929 0.8816645741 3.1038897038    0.876  1.895  3.7125  2.288    0 0.032 1.332 0.530 0.058 -0.155 -0.239
4.916e-05 9.929 0.8817835450 3.1039319038    0.876  1.940  3.7109  2.236    0 -0.080 1.237 0.426 -0.052 -0.268 -0.354
4.916e-05 9.929 0.8818917274 3.1039702892    0.876  1.984  3.7092  2.186    0 -0.189 1.144 0.324 -0.160 -0.379 -0.467
4.916e-05 9.929 0.8819928765 3.1040062904    0.876  2.028  3.7076  2.134    0 -0.301 1.050 0.220 -0.270 -0.492 -0.582
4.916e-05 9.929 0.8820852041 3.1040389538    0.875  2.073  3.7058  2.083    0 -0.411 0.958 0.118 -0.378 -0.604 -0.696
4.916e-05 9.929 0.8821671009 3.1040680408    0.875  2.115  3.7041  2.033    0 -0.518 0.870 0.019 -0.483 -0.712 -0.806
4.916e-05 9.929 0.8822425604 3.1040947437    0.875  2.158  3.7025  1.984    0 -0.624 0.781 -0.080 -0.588 -0.820 -0.915
4.916e-05 9.929 0.8823133111 3.1041197777    0.874  2.201  3.7008  1.934    0 -0.732 0.694 -0.178 -0.693 -0.929 -1.026
4.916e-05 9.929 0.8823768497 3.1041421890    0.874  2.242  3.6991  1.886    0 -0.834 0.613 -0.272 -0.794 -1.034 -1.133
4.916e-05 9.929 0.8824406266 3.1041648388    0.873  2.285  3.6975  1.836    0 -0.941 0.527 -0.371 -0.899 -1.142 -1.243
4.916e-05 9.929 0.8825075030 3.1041886806    0.873  2.321  3.6960  1.794    0 -1.033 0.455 -0.454 -0.989 -1.235 -1.338
4.916e-05 9.929 0.8825424910 3.1042010784    0.872  2.335  3.6954  1.777    0 -1.068 0.428 -0.486 -1.024 -1.271 -1.374
4.916e-05 9.929 0.8825858831 3.1042163372    0.872  2.319  3.6964  1.797    0 -1.028 0.456 -0.451 -0.985 -1.230 -1.332
4.916e-05 9.929 0.8826064467 3.1042237282    0.872  2.337  3.6956  1.776    0 -1.072 0.422 -0.491 -1.028 -1.274 -1.377
4.916e-05 9.929 0.8826506138 3.1042392254    0.871  2.376  3.6939  1.729    0 -1.171 0.345 -0.581 -1.125 -1.375 -1.480
4.916e-05 9.929 0.8826944828 3.1042547226    0.870  2.418  3.6922  1.680    0 -1.275 0.263 -0.676 -1.227 -1.481 -1.588
4.916e-05 9.929 0.8827331066 3.1042685509    0.870  2.457  3.6905  1.634    0 -1.373 0.188 -0.763 -1.322 -1.580 -1.689
4.916e-05 9.929 0.8827701211 3.1042816639    0.869  2.497  3.6887  1.587    0 -1.473 0.114 -0.852 -1.419 -1.681 -1.792
4.916e-05 9.929 0.8828032613 3.1042933464    0.868  2.535  3.6871  1.542    0 -1.568 0.043 -0.937 -1.512 -1.777 -1.890
4.916e-05 9.929 0.8828346133 3.1043043137    0.867  2.574  3.6853  1.496    0 -1.664 -0.022 -1.021 -1.605 -1.874 -1.989
4.916e-05 9.929 0.8828649521 3.1043150425    0.867  2.613  3.6835  1.449    0 -1.763 -0.075 -1.106 -1.703 -1.976 -2.094
